Time,CPU Usage
43479.319578,23.5
43479.319624,11.8
43479.319670,11.1
43479.319716,6.5
43479.319763,5.6
43479.319809,7.0
43479.319855,6.6
43479.319902,5.6
43479.319948,5.1
43479.319994,5.3
43479.320040,5.3
43479.320087,5.3
43479.320133,5.6
43479.320179,5.7
43479.320226,5.6
43479.320272,5.6
43479.320318,6.1
43479.320364,5.6
43479.320411,5.7
43479.320457,5.9
43479.320503,5.8
43479.320550,5.9
43479.320596,5.8
43479.320642,5.8
43479.320689,5.7
43479.320735,5.4
43479.320781,5.7
43479.320827,5.5
43479.320874,5.6
43479.320920,5.8
43479.320966,5.5
43479.321013,5.6
43479.321059,5.9
43479.321105,5.5
43479.321151,5.4
43479.321198,5.7
43479.321244,5.6
43479.321290,5.7
43479.321337,5.6
43479.321383,5.5
43479.321429,5.6
43479.321476,5.6
43479.321522,6.1
43479.321568,5.6
43479.321614,5.6
43479.321661,5.5
43479.321707,5.4
43479.321753,5.6
43479.321800,5.6
43479.321846,5.7
43479.321892,5.5
43479.321938,6.2
43479.321985,5.8
43479.322031,5.5
43479.322077,5.5
43479.322124,5.6
43479.322170,5.5
43479.322216,5.6
43479.322263,5.6
43479.322309,5.4
43479.322355,5.6
43479.322401,5.5
43479.322448,5.5
43479.322494,5.6
43479.322540,5.5
43479.322587,6.0
43479.322633,5.6
43479.322679,5.4
43479.322726,5.8
43479.322772,5.6
43479.322818,5.6
43479.322864,5.7
43479.322911,5.6
43479.322957,5.6
43479.323003,5.6
43479.323050,5.4
43479.323096,5.9
43479.323142,5.4
43479.323188,5.5
43479.323235,5.6
43479.323281,5.2
43479.323327,5.4
43479.323374,5.6
43479.323420,5.6
43479.323466,5.5
43479.323513,5.6
43479.323559,5.5
43479.323605,5.1
43479.323651,6.0
43479.323698,8.1
43479.323744,4.9
43479.323790,5.1
43479.323837,5.3
43479.323883,5.4
43479.323929,5.4
43479.323976,5.7
43479.324022,5.5
43479.324068,5.4
43479.324114,5.5
43479.324161,5.5
43479.324207,5.6
43479.324253,5.4
43479.324300,5.7
43479.324346,6.6
43479.324392,5.4
43479.324439,5.5
43479.324485,5.4
43479.324531,5.3
43479.324577,5.4
43479.324624,5.6
43479.324670,5.4
43479.324716,5.6
43479.324763,5.6
43479.324809,5.6
43479.324855,5.7
43479.324901,5.7
43479.324948,5.7
43479.324994,6.1
43479.325040,5.7
43479.325087,5.4
43479.325133,5.4
43479.325179,5.6
43479.325226,5.4
43479.325272,5.6
43479.325318,5.4
43479.325364,5.7
43479.325411,5.4
43479.325457,5.5
43479.325503,5.5
43479.325550,5.5
43479.325596,5.4
43479.325642,5.5
43479.325689,5.5
43479.325735,5.6
43479.325781,5.5
43479.325827,5.4
43479.325874,5.5
43479.325920,5.5
43479.325966,5.5
43479.326013,5.5
43479.326059,5.6
43479.326105,5.4
43479.326152,5.5
43479.326198,5.6
43479.326244,5.4
43479.326290,5.4
43479.326337,5.4
43479.326383,5.8
43479.326429,5.4
43479.326476,5.4
43479.326522,5.4
43479.326568,5.4
43479.326614,5.3
43479.326661,5.4
43479.326707,5.5
43479.326753,5.4
43479.326800,5.5
43479.326846,5.4
43479.326892,5.4
43479.326939,5.4
43479.326985,5.4
43479.327031,5.4
43479.327077,5.4
43479.327124,5.4
43479.327170,5.3
43479.327216,5.4
43479.327263,5.4
43479.327309,5.6
43479.327355,5.4
43479.327402,5.4
43479.327448,5.4
43479.327494,5.5
43479.327540,5.5
43479.327587,5.3
43479.327633,5.5
43479.327679,5.4
43479.327726,5.4
43479.327772,5.3
43479.327818,5.4
43479.327864,5.6
43479.327911,5.4
43479.327957,5.3
43479.328003,5.4
43479.328050,5.6
43479.328096,5.3
43479.328142,5.4
43479.328189,5.4
43479.328235,5.4
43479.328281,5.5
43479.328327,5.5
43479.328374,5.0
43479.328420,5.4
43479.328466,5.4
43479.328513,5.4
43479.328559,5.3
43479.328605,5.4
43479.328652,5.5
43479.328698,5.3
43479.328744,5.1
43479.328791,6.2
43479.328837,5.6
43479.328883,5.4
43479.328929,5.5
43479.328976,5.4
43479.329022,5.4
43479.329068,5.4
43479.329115,5.5
43479.329161,5.4
43479.329207,5.5
43479.329253,5.4
43479.329300,5.5
43479.329346,5.4
43479.329392,5.4
43479.329439,5.3
43479.329485,5.4
43479.329531,5.5
43479.329578,5.4
43479.329624,5.4
43479.329670,5.4
43479.329716,5.3
43479.329763,5.4
43479.329809,5.3
43479.329855,5.4
43479.329902,5.4
43479.329948,5.4
43479.329994,5.4
43479.330040,5.4
43479.330087,5.3
43479.330133,5.7
43479.330179,5.4
43479.330226,5.4
43479.330272,5.3
43479.330318,5.4
43479.330365,5.4
43479.330411,5.4
43479.330457,4.2
43479.330503,5.5
43479.330550,5.4
43479.330596,5.6
43479.330642,5.1
43479.330689,5.6
43479.330735,5.4
43479.330781,5.4
43479.330828,5.7
43479.330874,5.6
43479.330920,5.4
43479.330966,5.6
43479.331013,5.6
43479.331059,5.6
43479.331105,5.5
43479.331152,5.7
43479.331198,5.3
43479.331244,1.9
43479.331291,0.6
43479.331337,0.7
43479.331383,0.6
43479.331429,0.7
43479.331476,0.6
43479.331522,0.7
43479.331568,0.6
43479.331615,0.6
43479.331661,0.6
43479.331707,0.7
43479.331754,0.7
43479.331800,0.6
43479.331846,0.7
43479.331892,0.7
43479.331939,0.7
43479.331985,0.6
43479.332031,0.8
43479.332078,0.6
43479.332124,0.6
43479.332170,0.7
43479.332216,0.6
43479.332263,0.6
43479.332309,1.2
43479.332355,0.7
43479.332402,0.6
43479.332448,0.7
43479.332494,0.7
43479.332541,0.6
43479.332587,0.7
43479.332633,0.6
43479.332679,0.6
43479.332726,0.7
43479.332772,0.6
43479.332818,0.7
43479.332865,0.6
43479.332911,0.7
43479.332957,0.7
43479.333004,0.6
43479.333050,0.6
43479.333096,0.9
43479.333142,0.6
43479.333189,0.7
43479.333235,0.7
43479.333281,1.4
43479.333328,0.6
43479.333374,0.7
43479.333420,0.6
43479.333466,0.8
43479.333513,0.7
43479.333559,0.7
43479.333605,1.2
43479.333652,1.5
43479.333698,0.6
43479.333744,0.7
43479.333791,0.7
43479.333837,0.6
43479.333883,0.6
43479.333929,0.7
43479.333976,0.7
43479.334022,1.0
43479.334068,0.6
43479.334115,0.6
43479.334161,0.7
43479.334207,0.8
43479.334254,0.6
43479.334300,0.8
43479.334346,0.6
43479.334392,0.9
43479.334439,0.6
43479.334485,0.7
43479.334531,0.7
43479.334578,0.7
43479.334624,0.8
43479.334670,0.6
43479.334717,0.6
43479.334763,0.8
43479.334809,0.7
43479.334855,0.6
43479.334902,0.7
43479.334948,0.6
43479.334994,0.7
43479.335041,0.7
43479.335087,0.9
43479.335133,0.7
43479.335179,0.6
43479.335226,0.6
43479.335272,0.6
43479.335318,0.7
43479.335366,0.5
43479.335411,0.6
43479.335457,0.6
43479.335504,0.6
43479.335550,0.6
43479.335596,0.7
43479.335642,0.7
43479.335689,0.6
43479.335735,0.6
43479.335781,0.6
43479.335828,0.6
43479.335874,0.6
43479.335920,0.6
43479.335967,0.6
43479.336013,0.6
43479.336059,0.6
