Time,Used
43479.370780,139756032
43479.370825,165970432
43479.370871,187990528
43479.370918,211059200
43479.370964,38468096
43479.371010,77265408
43479.371057,110819840
43479.371103,145422848
43479.371149,178977280
43479.371195,213580288
43479.371242,247134720
43479.371288,56818176
43479.371334,92469760
43479.371381,126024192
43479.371427,159578624
43479.371473,193133056
43479.371520,226687488
43479.371566,36832872
43479.371612,70387304
43479.371658,103941736
43479.371705,137496168
43479.371751,170002024
43479.371797,204605032
43479.371844,238159464
43479.371890,48281136
43479.371936,80786992
43479.371983,114341424
43479.372029,146847280
43479.372075,180401712
43479.372121,213956144
43479.372168,248559152
43479.372214,57721856
43479.372260,91276288
43479.372307,123782144
43479.372353,158385152
43479.372399,191939584
43479.372446,225494016
43479.372492,257999872
43479.372538,67139760
43479.372584,100694192
43479.372631,134248624
43479.372677,167803056
43479.372723,200308912
43479.372770,234911920
43479.372816,43186688
43479.372862,76741120
43479.372908,109246976
43479.372955,143849984
43479.373001,177404416
43479.373047,210958848
43479.373094,244513280
43479.373140,52568024
43479.373186,86122456
43479.373233,119676888
43479.373279,152182744
43479.373325,186785752
43479.373371,220340184
43479.373418,253894616
43479.373464,62003800
43479.373510,94509656
43479.373557,129112664
43479.373603,161618520
43479.373649,196221528
43479.373696,229775960
43479.373742,36856456
43479.373788,71459464
43479.373834,105013896
43479.373881,138568328
43479.373927,171074184
43479.373973,204628616
43479.374020,238183048
43479.374066,47351808
43479.374112,78809088
43479.374159,114460672
43479.374205,146966528
43479.374251,180520960
43479.374297,215123968
43479.374344,247629824
43479.374390,55685408
43479.374436,89239840
43479.374483,122794272
43479.374529,156348704
43479.374575,189903136
43479.374622,223457568
43479.374668,257012000
43479.374714,66255360
43479.374760,98761216
43479.374807,133364224
43479.374853,165870080
43479.374899,200473088
43479.374946,234027520
43479.374992,40981680
43479.375038,75584688
43479.375085,109139120
43479.375131,142693552
43479.375177,175199408
43479.375223,208753840
43479.375270,242308272
43479.375316,50507656
43479.375362,84062088
43479.375409,117616520
43479.375455,152219528
43479.375501,185773960
43479.375548,218279816
43479.375594,252882824
43479.375640,60045696
43479.375686,94648704
43479.375733,127154560
43479.375779,161757568
43479.375825,194263424
43479.375872,227817856
43479.375918,35932416
43479.375964,68438272
43479.376011,103041280
43479.376057,136595712
43479.376103,169101568
43479.376149,203704576
43479.376196,237259008
43479.376242,42241584
43479.376288,76844592
43479.376335,110399024
43479.376381,143953456
43479.376427,177507888
43479.376474,211062320
43479.376520,245665328
43479.376566,51686544
43479.376612,85240976
43479.376659,118795408
43479.376705,151301264
43479.376751,185904272
43479.376798,219458704
43479.376844,253013136
43479.376890,60096992
43479.376936,92602848
43479.376983,127205856
43479.377029,160760288
43479.377075,193266144
43479.377122,227869152
43479.377168,34934992
43479.377214,68489424
43479.377261,102043856
43479.377307,135598288
43479.377353,169152720
43479.377399,201658576
43479.377446,235213008
43479.377492,44405512
43479.377538,76911368
43479.377585,109417224
43479.377631,144020232
43479.377677,177574664
43479.377724,211129096
43479.377770,244683528
43479.377816,51774848
43479.377862,84280704
43479.377909,118883712
43479.377955,152438144
43479.378001,185992576
43479.378048,219547008
43479.378094,253101440
43479.378140,59132416
43479.378186,93735424
43479.378233,126241280
43479.378279,159795712
43479.378325,194398720
43479.378372,226904576
43479.378418,35028432
43479.378464,67534288
43479.378511,102137296
43479.378557,135691728
43479.378603,169246160
43479.378649,201752016
43479.378696,236355024
43479.378742,44478592
43479.378788,76984448
43479.378835,111587456
43479.378881,145141888
43479.378927,178696320
43479.378974,212250752
43479.379020,244756608
43479.379066,52886976
43479.379112,85392832
43479.379159,119995840
43479.379205,153550272
43479.379251,187104704
43479.379298,220659136
43479.379344,254213568
43479.379390,60226608
43479.379436,93781040
43479.379483,128384048
43479.379529,160889904
43479.379575,194444336
43479.379622,229047344
43479.379668,35098656
43479.379714,68653088
43479.379761,102207520
43479.379807,134713376
43479.379853,169316384
43479.379899,202870816
43479.379946,236425248
43479.379992,44556656
43479.380038,77062512
43479.380085,111665520
43479.380131,144171376
43479.380177,178774384
43479.380224,211280240
43479.380270,244834672
43479.380316,52945424
43479.380362,86499856
43479.380409,120054288
43479.380455,153608720
43479.380501,187163152
43479.380548,219669008
43479.380594,254272016
43479.380640,59263248
43479.380687,93866256
43479.380733,127420688
43479.380779,159926544
43479.380825,194529552
43479.380872,228083984
43479.380918,35165888
43479.380964,67671744
43479.381011,102274752
43479.381057,135829184
43479.381103,169383616
43479.381150,202938048
43479.381196,236492480
43479.381242,43568752
43479.381288,76074608
43479.381335,109629040
43479.381381,144232048
43479.381427,177786480
43479.381474,211340912
43479.381520,243846768
43479.381566,50907160
43479.381613,85510168
43479.381659,118016024
43479.381705,152619032
43479.381751,186173464
43479.381798,219727896
43479.381844,252233752
43479.381890,60376896
43479.381937,92882752
43479.381983,126437184
43479.382029,159991616
43479.382076,193546048
43479.382122,227100480
43479.382168,35242048
43479.382214,68796480
43479.382261,101302336
43479.382307,134856768
43479.382353,169459776
43479.382400,203014208
43479.382446,235520064
43479.382492,41528840
43479.382538,76131848
43479.382585,109686280
43479.382631,143240712
43479.382677,177843720
43479.382724,210349576
43479.382770,243904008
43479.382816,52054408
43479.382863,84560264
43479.382909,119163272
43479.382955,152717704
43479.383001,186272136
43479.383048,219826568
43479.383094,253381000
43479.383140,60424120
43479.383187,92929976
43479.383233,126484408
43479.383279,156893112
43479.383326,157941688
43479.383372,158990264
43479.383418,158990264
43479.383464,160038840
43479.383511,161087416
43479.383557,162135992
43479.383603,163184568
43479.383650,164233144
43479.383696,164233144
43479.383742,165281720
43479.383788,166330296
43479.383835,167378872
43479.383881,168427448
43479.383927,169476024
43479.383974,170524600
